Event Number,CAR
1,-0.066544113
2,0.060804358
3,-0.067772727
4,0.018944296
5,-0.01389824
6,-0.073232651
7,-0.05088864
8,-9.67713E-05
9,-0.07276699
10,-0.03057644
11,-0.190055881
12,0.215521458
13,0.012934469
14,-0.134734956
15,0.147410309
16,0.016439661
17,-0.067878342
18,-0.004285449
19,-0.153714292
20,-0.04122469
21,0.093814014
22,-0.111951432
23,-0.040994474
24,0.038957841
25,0.03670093
26,0.038000143
27,-0.028176397
28,0.074607759
29,-0.04552444
30,0.007414177
31,0.080741392
32,0.246933586
33,-0.012213856
34,-0.09252076
35,-0.203047103
36,-0.131815933
37,0.110494374
38,0.035364427
39,-0.084403065
40,-0.034519668
41,0.029289685
42,0.049844265
43,-0.001013087
44,-0.063338258
45,0.009322411
46,0.108510311
47,0.098260988
48,0.041984866
49,0.013794169
50,0.066202437
51,-0.040940246
52,-0.099313321
53,-0.143594799
54,0.093683046
55,-0.100675062
56,0.001649459
57,-0.08211182
58,-0.029348622
59,-0.10361273
60,-0.108666792
61,0.002769501
62,-0.016968125
63,-0.011345402
64,-0.02887091
65,0.071633939
66,0.055290547
67,-0.163192136
68,0.027265832
69,-0.130363015
70,-0.037590463
71,-0.109276608
72,0.056900807
73,-0.133305685
74,-0.224577571
75,0.061189302
76,0.127351858
77,0.001987108
78,0.022846597
79,-0.00652076
80,0.02144984
81,-0.016931746
82,0.141214376
83,-0.185436557
84,-0.069076715
85,0.025399548
86,-0.066168264
87,0.018971808
88,-0.081451982
89,-0.049518827
90,-0.077112328
91,0.148264779
92,-0.056573777
93,0.053525899
94,0.071862904
95,-0.018743004
96,0.02283591
97,0.091236051
98,-0.139578243
99,0.035022912
100,0.088968908
101,0.057663191
102,-0.186153239
103,-0.016605919
104,0.061799118
105,0.114611884
106,-0.091192443
107,-0.065741143
108,-0.008981852
109,0.088925025
110,-0.242927537
111,0.008145752
112,0.081784127
113,0.085069904
114,-0.085779585
115,-0.08335942
116,0.086155613
117,0.249334652
118,0.084020802
119,-0.007996983
120,0.076974492
121,-0.048446874
122,0.020583206
123,0.02302031
124,-0.027408783
125,0.0459921
126,-0.232259164
127,-0.126709802
128,-0.160371793
129,-0.10758995
130,-0.018266998
131,-0.010979103
132,0.230066097
133,-0.052349288
134,0.026301312
135,-0.047014533
136,-0.184250576
137,-0.02558968
138,0.007152811
139,0.027194209
140,0.035372613
141,0.046606919
142,0.010109806
143,-0.054990688
144,0.014397846
145,0.071499334
146,-0.026938234
147,0.153083282
148,0.214961209
149,0.078800075
150,-0.052698989
151,0.173423676
152,0.00256225
153,0.057102942
154,0.044571242
155,0.018424179
156,-0.057599119
157,-0.047087634
158,-0.034160076
159,-0.086265255
160,-0.068452347
161,-0.018018023
162,-0.10485419
163,-0.07557369
164,-0.049946176
165,-0.020060066
166,-0.009332008
167,-0.042137368
168,-0.126686383
169,0.109947313
170,-0.008953885
171,0.044457669
172,-0.108519908
173,0.068985263
174,-0.083521764
175,-0.050985728
176,-0.013254659
177,-0.033086873
178,0.033110245
179,-0.17836751
180,-0.109738177
181,-0.056255113
182,-0.099774207
183,0.091456603
184,0.035127617
185,-0.139049827
186,0.022883659
187,0.09303776
188,0.017468982
189,-0.072422291
190,0.064862751
191,-0.038684699
192,-0.1486741
193,-0.021165102
194,0.021940626
195,-0.021575398
196,-0.091628318
197,0.072742158
198,-0.025159148
199,-0.08618431
200,-0.026520093
201,0.046902959
202,-0.101452452
203,-0.102494279
204,-0.109708618
205,0.005033006
206,-0.142026148
207,-0.115802005
208,-0.109960093
209,-0.206723281
210,-0.282683369
211,0.082448968
212,-0.101188244
213,-0.104521315
214,0.13351232
215,-0.082506541
216,0.017933052
217,0.159671207
218,-0.076284915
219,-0.087276613
220,0.022219728
221,-0.162623702
222,-0.183932253
223,-0.039375574
224,-0.063991275
225,-0.150069037
226,0.002472779
227,0.083236363
228,-0.002422463
229,-0.036874009
230,0.077119102
231,0.080971266
232,0.128988039
233,-0.168017005
234,0.030946784
235,0.185208909
236,-0.147192533
237,-0.028318847
238,-0.045862999
239,-0.167222562
240,0.066441861
241,-0.13426452
242,-0.223375219
243,-0.017314643
244,-0.068960072
245,-0.055688725
246,0.079995379
247,0.024665586
248,-0.007906602
249,0.099424459
250,-0.026575004
251,-0.152569693
252,-0.120251481
253,-0.064707389
254,0.253285497
255,0.106356855
256,0.151148787
257,0.07198796
258,-0.058923912
259,-0.102486548
260,-0.009588485
261,-0.099039336
262,0.061133368
263,-0.162722837
264,0.103168167
265,-0.154498049
266,0.181059794
267,-0.029246759
268,0.131899332
269,0.084208158
270,-0.049614438
271,-0.078045015
272,-0.106599056
273,-0.112751787
274,0.020084461
275,-0.239749762
276,-0.063378048
277,-0.082601128
278,0.023360007
279,0.063246465
